"id","author","type","dose","cases","n","logRR","se"
13,"Paganini-Hill et al.","ci",4.5,685,872,-0.0618754037180875,0.040577728221859
14,"Lopez-Garcia et al.","ir",0,1553,170743,0,0
14,"Lopez-Garcia et al.","ir",0.2855,1570,145607,0.0676586484738149,0.0404261073907588
14,"Lopez-Garcia et al.","ir",0.8335,2117,187985,0.0198026272961797,0.0397074769672942
14,"Lopez-Garcia et al.","ir",2.4835,1289,148389,-0.0304592074847086,0.0421744848023938
14,"Lopez-Garcia et al.","ir",4.4835,286,37639,-0.0725706928348354,0.0710152244360886
14,"Lopez-Garcia et al.","ir",6.4835,73,10601,-0.22314355131421,0.1319531923715
15,"Lopez-Garcia et al.","ir",0,1665,319326,0,0
15,"Lopez-Garcia et al.","ir",0.2855,1610,247470,-0.0202027073175195,0.0365053172552738
15,"Lopez-Garcia et al.","ir",0.8335,3946,609374,-0.0725706928348354,0.0303722857183643
15,"Lopez-Garcia et al.","ir",2.4835,2876,563666,-0.198450938723838,0.0311486471430867
15,"Lopez-Garcia et al.","ir",4.4835,738,172583,-0.301105092783922,0.0446279207898806
15,"Lopez-Garcia et al.","ir",6.4835,260,60180,-0.186329578191493,0.0671983291969769
16,"Happonen et al.","ir",0,139,1336,0,0
16,"Happonen et al.","ir",-1.5,36,384,-0.0202027073175195,0.191615928114871
16,"Happonen et al.","ir",2,257,2787,-0.0408219945202552,0.108897755768362
16,"Happonen et al.","ir",4,161,1991,-0.105360515657826,0.126642062835176
16,"Happonen et al.","ir",6,30,462,-0.27443684570176,0.212476817075282
17,"Ahmed et al.","ir",0,108,36162,0,0
17,"Ahmed et al.","ir",1.5,192,65806,-0.150822889734584,0.0562609106158552
17,"Ahmed et al.","ir",2.5,183,72844,-0.186329578191493,0.055541705062467
17,"Ahmed et al.","ir",3.5,141,56455,-0.174353387144778,0.0610279819045495
17,"Ahmed et al.","ir",5,160,88590,-0.139262067333508,0.0582292479543317
18,"DeKoning Gans et al.","ir",0,259,75809,0,0
18,"DeKoning Gans et al.","ir",1.505,375,103179,-0.0725706928348354,0.0821173545311536
18,"DeKoning Gans et al.","ir",4.01,597,158932,-0.116533816255952,0.076679968695839
18,"DeKoning Gans et al.","ir",7.01,174,47550,-0.0725706928348354,0.105662956142071
19,"Sugiyama et al.","ir",0,365,31959,0,0
19,"Sugiyama et al.","ir",0.495,629,65962,-0.0408219945202552,0.0718468770397496
19,"Sugiyama et al.","ir",1.5,443,58813,-0.0943106794712413,0.0782475171996111
19,"Sugiyama et al.","ir",3.5,210,31422,-0.116533816255952,0.0964454423265434
20,"Sugiyama et al.","ir",0,222,37138,0,0
20,"Sugiyama et al.","ir",0.495,331,77154,-0.127833371509885,0.095147870653999
20,"Sugiyama et al.","ir",1.5,206,68003,-0.198450938723838,0.111050528382103
20,"Sugiyama et al.","ir",3.5,48,20477,-0.287682072451781,0.174405213419745
21,"Tamakoshi et al.","ir",0,8989,413510,0,0
21,"Tamakoshi et al.","ir",0.505,1035,61914,-0.0512932943875506,0.0322663640584489
21,"Tamakoshi et al.","ir",2.005,1004,83801,-0.150822889734584,0.0352424332859227
21,"Tamakoshi et al.","ir",4.005,150,15545,-0.22314355131421,0.0852982618429679
22,"Tamakoshi et al.","ir",0,7098,613607,0,0
22,"Tamakoshi et al.","ir",0.505,738,111465,-0.198450938723838,0.0402813850627063
22,"Tamakoshi et al.","ir",2.005,474,100872,-0.186329578191493,0.0493294369848315
22,"Tamakoshi et al.","ir",4.005,44,10944,-0.116533816255952,0.152509438968271
23,"Freedman et al.","ci",0,2766,21080,0,0
23,"Freedman et al.","ci",0.5,4931,34710,-0.0100503358535015,0.0230903080461306
23,"Freedman et al.","ci",0.995,5049,33961,-0.0618754037180875,0.0243138213786543
23,"Freedman et al.","ci",2.5,14115,97144,-0.105360515657826,0.0199622951274868
23,"Freedman et al.","ci",4.5,4966,32084,-0.127833371509885,0.0259649730382506
23,"Freedman et al.","ci",6.5,1904,10139,-0.105360515657826,0.0310451364738571
24,"Freedman et al.","ci",0,2161,20865,0,0
24,"Freedman et al.","ci",0.495,3221,30085,0.00995033085316809,0.0276736334168546
24,"Freedman et al.","ci",1,3388,31355,-0.0512932943875506,0.0294160322732129
24,"Freedman et al.","ci",2.5,7140,68250,-0.139262067333508,0.0262622370541945
24,"Freedman et al.","ci",4.5,2099,17434,-0.174353387144778,0.0332555657814397
24,"Freedman et al.","ci",6.5,775,5152,-0.162518929497775,0.0448700679754246
