"id","author","year","type","dose","cases","n","logrr","se","gender","area"
5,"Woodward",1999,"ci",5.5,36,1343,-0.23572233352107,0.200699318645567,"F","Europe"
6,"Kleemola et al.",2000,"ci",2,172,1712,0,0,"M","Europe"
6,"Kleemola et al.",2000,"ci",0.495,73,545,0.457424847038875,0.139088533286562,"M","Europe"
6,"Kleemola et al.",2000,"ci",5.5,621,5280,-0.0304592074847086,0.0840508166148577,"M","Europe"
6,"Kleemola et al.",2000,"ci",9.5,335,2538,0.00995033085316809,0.0952051647678426,"M","Europe"
7,"Kleemola et al.",2000,"ci",2,87,1786,0,0,"F","Europe"
7,"Kleemola et al.",2000,"ci",0.495,19,369,0.113328685307003,0.248821338837796,"F","Europe"
7,"Kleemola et al.",2000,"ci",5.5,289,6732,-0.23572233352107,0.120404538380032,"F","Europe"
7,"Kleemola et al.",2000,"ci",9.5,49,1500,-0.478035800943,0.17390777671845,"F","Europe"
8,"Iwai et al.",2002,"ir",0.245,132,4685,0,0,"M","Japan"
8,"Iwai et al.",2002,"ir",0.75,71,4162,-0.356674943938732,0.151033434614433,"M","Japan"
8,"Iwai et al.",2002,"ir",2.25,43,4858,-0.843970070294529,0.189269730798311,"M","Japan"
9,"Iwai et al.",2002,"ir",0.245,61,4367,0,0,"F","Japan"
9,"Iwai et al.",2002,"ir",0.75,31,4981,-0.356674943938732,0.225685049096639,"F","Japan"
9,"Iwai et al.",2002,"ir",2.25,23,5303,-0.27443684570176,0.264674642012314,"F","Japan"
12,"Andersen et al.",2006,"ir",0,436,40836,0,0,"F","USA"
12,"Andersen et al.",2006,"ir",0.5,453,43635,-0.0943106794712413,0.0669296593029314,"F","USA"
12,"Andersen et al.",2006,"ir",2,2039,204806,-0.162518929497775,0.0542248576488961,"F","USA"
12,"Andersen et al.",2006,"ir",4.5,817,80170,-0.210721031315653,0.0597432110971415,"F","USA"
12,"Andersen et al.",2006,"ir",6.5,520,40788,-0.139262067333508,0.0700093994137144,"F","USA"
13,"Paganini-Hill et al.",2006,"ci",0,4733,5502,0,0,"M/F","USA"
13,"Paganini-Hill et al.",2006,"ci",0.495,1207,1476,-0.105360515657826,0.0310451364738571,"M/F","USA"
13,"Paganini-Hill et al.",2006,"ci",1,2087,2473,-0.0408219945202552,0.0265971965113289,"M/F","USA"
13,"Paganini-Hill et al.",2006,"ci",2.5,2674,3301,-0.116533816255952,0.0256743688213488,"M/F","USA"
13,"Paganini-Hill et al.",2006,"ci",4.5,685,872,-0.0618754037180875,0.040577728221859,"M/F","USA"
14,"Lopez-Garcia et al.",2008,"ir",0.0165,1553,170743,0,0,"M","USA"
14,"Lopez-Garcia et al.",2008,"ir",0.302,1570,145607,0.0676586484738149,0.0404261073907588,"M","USA"
14,"Lopez-Garcia et al.",2008,"ir",0.85,2117,187985,0.0198026272961797,0.0397074769672942,"M","USA"
14,"Lopez-Garcia et al.",2008,"ir",2.5,1289,148389,-0.0304592074847086,0.0421744848023938,"M","USA"
14,"Lopez-Garcia et al.",2008,"ir",4.5,286,37639,-0.0725706928348354,0.0710152244360886,"M","USA"
14,"Lopez-Garcia et al.",2008,"ir",6.5,73,10601,-0.22314355131421,0.1319531923715,"M","USA"
15,"Lopez-Garcia et al.",2008,"ir",0.0165,1665,319326,0,0,"F","USA"
15,"Lopez-Garcia et al.",2008,"ir",0.302,1610,247470,-0.0202027073175195,0.0365053172552738,"F","USA"
15,"Lopez-Garcia et al.",2008,"ir",0.85,3946,609374,-0.0725706928348354,0.0303722857183643,"F","USA"
15,"Lopez-Garcia et al.",2008,"ir",2.5,2876,563666,-0.198450938723838,0.0311486471430867,"F","USA"
15,"Lopez-Garcia et al.",2008,"ir",4.5,738,172583,-0.301105092783922,0.0446279207898806,"F","USA"
15,"Lopez-Garcia et al.",2008,"ir",6.5,260,60180,-0.186329578191493,0.0671983291969769,"F","USA"
16,"Happonen et al.",2008,"ir",1.5,139,1336,0,0,"M/F","Europe"
16,"Happonen et al.",2008,"ir",0,36,384,-0.0202027073175195,0.191615928114871,"M/F","Europe"
16,"Happonen et al.",2008,"ir",3.5,257,2787,-0.0408219945202552,0.108897755768362,"M/F","Europe"
16,"Happonen et al.",2008,"ir",5.5,161,1991,-0.105360515657826,0.126642062835176,"M/F","Europe"
16,"Happonen et al.",2008,"ir",7.5,30,462,-0.27443684570176,0.212476817075282,"M/F","Europe"
17,"Ahmed et al.",2009,"ir",0.5,108,36162,0,0,"M","Europe"
17,"Ahmed et al.",2009,"ir",2,192,65806,-0.150822889734584,0.0562609106158552,"M","Europe"
17,"Ahmed et al.",2009,"ir",3,183,72844,-0.186329578191493,0.055541705062467,"M","Europe"
17,"Ahmed et al.",2009,"ir",4,141,56455,-0.174353387144778,0.0610279819045495,"M","Europe"
17,"Ahmed et al.",2009,"ir",5.5,160,88590,-0.139262067333508,0.0582292479543317,"M","Europe"
18,"DeKoning Gans et al.",2010,"ir",0.495,259,75809,0,0,"M/F","Europe"
18,"DeKoning Gans et al.",2010,"ir",2,375,103179,-0.0725706928348354,0.0821173545311536,"M/F","Europe"
18,"DeKoning Gans et al.",2010,"ir",4.505,597,158932,-0.116533816255952,0.076679968695839,"M/F","Europe"
18,"DeKoning Gans et al.",2010,"ir",7.505,174,47550,-0.0725706928348354,0.105662956142071,"M/F","Europe"
19,"Sugiyama et al.",2010,"ir",0,365,31959,0,0,"M","Japan"
19,"Sugiyama et al.",2010,"ir",0.495,629,65962,-0.0408219945202552,0.0718468770397496,"M","Japan"
19,"Sugiyama et al.",2010,"ir",1.5,443,58813,-0.0943106794712413,0.0782475171996111,"M","Japan"
19,"Sugiyama et al.",2010,"ir",3.5,210,31422,-0.116533816255952,0.0964454423265434,"M","Japan"
20,"Sugiyama et al.",2010,"ir",0,222,37138,0,0,"F","Japan"
20,"Sugiyama et al.",2010,"ir",0.495,331,77154,-0.127833371509885,0.095147870653999,"F","Japan"
20,"Sugiyama et al.",2010,"ir",1.5,206,68003,-0.198450938723838,0.111050528382103,"F","Japan"
20,"Sugiyama et al.",2010,"ir",3.5,48,20477,-0.287682072451781,0.174405213419745,"F","Japan"
21,"Tamakoshi et al.",2011,"ir",0.495,8989,413510,0,0,"M","Japan"
21,"Tamakoshi et al.",2011,"ir",1,1035,61914,-0.0512932943875506,0.0322663640584489,"M","Japan"
21,"Tamakoshi et al.",2011,"ir",2.5,1004,83801,-0.150822889734584,0.0352424332859227,"M","Japan"
21,"Tamakoshi et al.",2011,"ir",4.5,150,15545,-0.22314355131421,0.0852982618429679,"M","Japan"
22,"Tamakoshi et al.",2011,"ir",0.495,7098,613607,0,0,"F","Japan"
22,"Tamakoshi et al.",2011,"ir",1,738,111465,-0.198450938723838,0.0402813850627063,"F","Japan"
22,"Tamakoshi et al.",2011,"ir",2.5,474,100872,-0.186329578191493,0.0493294369848315,"F","Japan"
22,"Tamakoshi et al.",2011,"ir",4.5,44,10944,-0.116533816255952,0.152509438968271,"F","Japan"
23,"Freedman et al.",2012,"ci",0,2766,21080,0,0,"M","USA"
23,"Freedman et al.",2012,"ci",0.5,4931,34710,-0.0100503358535015,0.0230903080461306,"M","USA"
23,"Freedman et al.",2012,"ci",0.995,5049,33961,-0.0618754037180875,0.0243138213786543,"M","USA"
23,"Freedman et al.",2012,"ci",2.5,14115,97144,-0.105360515657826,0.0199622951274868,"M","USA"
23,"Freedman et al.",2012,"ci",4.5,4966,32084,-0.127833371509885,0.0259649730382506,"M","USA"
23,"Freedman et al.",2012,"ci",6.5,1904,10139,-0.105360515657826,0.0310451364738571,"M","USA"
24,"Freedman et al.",2012,"ci",0,2161,20865,0,0,"F","USA"
24,"Freedman et al.",2012,"ci",0.495,3221,30085,0.00995033085316809,0.0276736334168546,"F","USA"
24,"Freedman et al.",2012,"ci",1,3388,31355,-0.0512932943875506,0.0294160322732129,"F","USA"
24,"Freedman et al.",2012,"ci",2.5,7140,68250,-0.139262067333508,0.0262622370541945,"F","USA"
24,"Freedman et al.",2012,"ci",4.5,2099,17434,-0.174353387144778,0.0332555657814397,"F","USA"
24,"Freedman et al.",2012,"ci",6.5,775,5152,-0.162518929497775,0.0448700679754246,"F","USA"
